t_s,M,power_w,V_load_worst,V_load_avg
0.538996,9,131.203,0.910848,0.930667
0.540001,9,130.494,0.921458,0.931836
0.541001,9,131.106,0.917961,0.931656
0.542001,9,130.860,0.915385,0.930095
0.543001,9,131.521,0.905886,0.929254
0.544001,9,131.404,0.923382,0.931592
0.552265,9,129.835,0.919502,0.931603
0.552288,9,129.654,0.933742,0.933742
0.552302,9,129.392,0.934882,0.934882
0.552310,9,130.264,0.932123,0.932123
0.552320,9,130.124,0.933127,0.933127
0.552327,9,134.683,0.918624,0.918624
0.552336,9,137.741,0.911462,0.911462
0.552343,9,130.784,0.934105,0.934105
0.552999,9,131.556,0.906435,0.930560
0.560532,9,130.042,0.912612,0.931363
0.560558,9,129.073,0.935236,0.935236
0.560568,9,133.450,0.922449,0.922449
0.560578,9,130.301,0.934845,0.934845
0.560586,9,133.012,0.926035,0.926035
0.560595,9,136.383,0.916534,0.916534
0.560602,9,129.626,0.934254,0.934254
0.560998,9,130.425,0.913061,0.931487
0.562002,9,130.772,0.906323,0.931007
0.563001,9,130.819,0.922076,0.930498
0.564001,9,130.441,0.921999,0.931393
0.565001,9,130.128,0.923397,0.931370
0.581368,10,130.583,0.920636,0.930876
0.581392,10,137.692,0.910933,0.910933
0.581406,10,139.481,0.909144,0.909144
0.581416,10,140.565,0.909833,0.909833
0.581425,10,138.596,0.920230,0.920230
0.581433,10,135.723,0.931693,0.931693
0.581441,10,137.893,0.924707,0.924707
0.581448,10,143.900,0.906386,0.906386
0.581456,10,136.437,0.931307,0.931307
0.581463,10,135.264,0.931519,0.931519
0.581471,10,144.403,0.907254,0.907254
0.581479,10,140.965,0.922575,0.922575
0.581486,10,139.954,0.927258,0.927258
0.581494,10,139.375,0.929701,0.929701
0.581502,10,135.159,0.930805,0.930805
0.581509,10,136.936,0.930951,0.930951
0.581999,10,138.618,0.903528,0.926812
0.582998,10,139.268,0.903669,0.926696
0.584000,10,139.505,0.904176,0.926420
0.585002,10,140.298,0.914468,0.926493
0.586002,10,137.937,0.916110,0.929053
0.587002,10,138.999,0.904832,0.924581
0.588002,10,139.454,0.915121,0.927435
0.606279,10,139.731,0.904240,0.926252
0.606303,10,138.693,0.929930,0.929930
0.606318,10,138.313,0.930113,0.930113
0.606326,10,136.077,0.930483,0.930483
0.606336,10,145.773,0.908510,0.908510
0.606345,10,138.475,0.930000,0.930000
0.606353,10,134.294,0.930570,0.930570
0.606360,10,138.665,0.930590,0.930590
0.606369,10,138.934,0.930219,0.930219
0.606376,10,138.074,0.930655,0.930655
0.606384,10,137.815,0.930743,0.930743
0.606391,10,137.755,0.930819,0.930819
0.606399,10,138.626,0.929959,0.929959
0.606406,10,134.611,0.931173,0.931173
0.606414,10,139.371,0.925576,0.925576
0.606421,10,137.915,0.931009,0.931009
0.606429,10,143.909,0.911681,0.911681
0.606436,10,141.859,0.921637,0.921637
0.606998,10,139.111,0.898353,0.926798
0.607998,10,139.256,0.901788,0.926250
0.609000,10,139.059,0.899952,0.926290
0.610001,10,138.742,0.909799,0.926614
0.611001,10,139.114,0.912993,0.926904
0.612001,10,138.686,0.916719,0.925857
0.613001,10,138.778,0.908675,0.927117
0.624288,10,138.879,0.918140,0.927152
0.624311,10,136.504,0.930566,0.930566
0.624325,10,139.421,0.928762,0.928762
0.624334,10,134.423,0.930966,0.930966
0.624343,10,137.610,0.931012,0.931012
0.624351,10,142.722,0.915535,0.915535
0.624360,10,141.522,0.922069,0.922069
0.624367,10,141.009,0.925176,0.925176
0.624375,10,138.902,0.930207,0.930207
0.624382,10,139.168,0.930249,0.930249
0.624390,10,141.702,0.923077,0.923077
0.624996,10,139.265,0.906124,0.926692
0.626001,10,138.998,0.902951,0.925882
0.627001,10,139.497,0.912193,0.925171
0.628001,10,139.576,0.908271,0.925950
0.629002,10,139.194,0.916820,0.928176
0.632461,10,139.543,0.914561,0.926002
0.632484,10,140.843,0.923185,0.923185
0.632498,10,145.868,0.908077,0.908077
0.633002,10,139.111,0.905196,0.926824
0.633997,11,147.532,0.900304,0.917559
0.638447,11,149.933,0.908258,0.917249
0.638463,11,148.188,0.925732,0.925732
0.638472,11,148.676,0.925275,0.925275
0.638481,11,145.285,0.926046,0.926046
0.639000,11,146.993,0.905087,0.922952
0.640002,11,147.466,0.890869,0.921492
0.641001,11,148.708,0.904627,0.920683
0.642001,11,146.723,0.910325,0.922519
0.643001,11,146.763,0.913525,0.922085
0.650269,11,146.361,0.908987,0.923400
0.650292,11,144.519,0.926743,0.926743
0.650306,11,151.115,0.911741,0.911741
0.650315,11,147.825,0.925011,0.925011
0.650325,11,144.300,0.926565,0.926565
0.650333,11,150.925,0.913342,0.913342
0.650342,11,156.055,0.898854,0.898854
0.650805,11,147.957,0.900146,0.922360
0.651997,11,148.194,0.906869,0.921323
0.653087,11,147.117,0.905269,0.922126
0.660648,11,147.129,0.900420,0.922987
0.660679,11,145.939,0.926939,0.926939
0.660690,11,148.036,0.920700,0.920700
0.660700,11,149.901,0.915675,0.915675
0.660708,11,143.524,0.926774,0.926774
0.660716,11,149.017,0.918412,0.918412
0.660723,11,142.100,0.927004,0.927004
